"date","message"
"2017-08-16T23:18:11","Initial commit"
"2017-08-16T23:31:07","base python script created"
"2017-08-16T23:45:48","created data.json"
"2017-08-17T09:40:43","script iterates throught commits of the given repo correctly"
"2017-08-17T10:51:45","copied an example from bbengfort blog and modified it to get the insertions and deletions"
"2017-08-17T11:49:19","first approach to the graphical interface"
"2017-08-17T13:27:15","created red graph"
"2017-08-17T14:09:05","improved the line curves and the readme"
"2017-08-17T14:23:52","improved documentation and implemented command line"
"2017-08-17T18:37:59","added support to specify a list of specific files to track"
"2017-08-17T19:52:14","started to implement the sparse argument and other minor tweaks"
"2017-08-18T12:14:45","implementing more features to the sparse argument"
"2017-08-18T14:14:23","improved the horizontal axis"
"2017-08-18T15:01:28","tweaked horizontal axis and started to implement a way to track the commits messages"
"2017-08-19T11:27:45","implemented a basic tooltip to visualize the message of the commit, still needs improvement"
